Image 0: Predicted = 5, Label = 5
Image 99: Predicted = 1, Label = 1
Image 100: Predicted = 9, Label = 5
Image 101: Predicted = 7, Label = 7
Image 102: Predicted = 1, Label = 1
Image 103: Predicted = 7, Label = 7
Image 104: Predicted = 1, Label = 1
Image 105: Predicted = 1, Label = 1
Image 106: Predicted = 6, Label = 6
Image 107: Predicted = 3, Label = 3
Image 108: Predicted = 0, Label = 0
Image 109: Predicted = 6, Label = 2
Image 110: Predicted = 9, Label = 9
Image 111: Predicted = 3, Label = 3
Image 112: Predicted = 1, Label = 1
Image 113: Predicted = 1, Label = 1
Image 114: Predicted = 0, Label = 0
Image 115: Predicted = 4, Label = 4
Image 116: Predicted = 9, Label = 9
Image 117: Predicted = 2, Label = 2
Image 118: Predicted = 0, Label = 0
Image 119: Predicted = 0, Label = 0
Image 120: Predicted = 2, Label = 2
Image 121: Predicted = 0, Label = 0
Image 122: Predicted = 2, Label = 2
Image 123: Predicted = 7, Label = 7
Image 124: Predicted = 1, Label = 1
Image 125: Predicted = 8, Label = 8
Image 126: Predicted = 6, Label = 6
Image 127: Predicted = 4, Label = 4
Image 128: Predicted = 1, Label = 1
Image 129: Predicted = 6, Label = 6
Image 130: Predicted = 3, Label = 3
Image 131: Predicted = 4, Label = 4
Image 132: Predicted = 3, Label = 5
Image 133: Predicted = 9, Label = 9
Image 134: Predicted = 5, Label = 1
Image 135: Predicted = 3, Label = 3
Image 136: Predicted = 3, Label = 3
Image 137: Predicted = 1, Label = 8
Image 138: Predicted = 5, Label = 5
Image 139: Predicted = 4, Label = 4
Image 140: Predicted = 7, Label = 7
Image 141: Predicted = 7, Label = 7
Image 142: Predicted = 4, Label = 4
Image 143: Predicted = 2, Label = 2
Image 144: Predicted = 8, Label = 8
Image 145: Predicted = 5, Label = 5
Image 146: Predicted = 8, Label = 8
Image 147: Predicted = 6, Label = 6
Image 148: Predicted = 9, Label = 7
Image 149: Predicted = 3, Label = 3
Image 150: Predicted = 4, Label = 4
Image 151: Predicted = 6, Label = 6
Image 152: Predicted = 1, Label = 1
Image 153: Predicted = 9, Label = 9
Image 154: Predicted = 9, Label = 9
Image 155: Predicted = 6, Label = 6
Image 156: Predicted = 0, Label = 0
Image 157: Predicted = 3, Label = 3
Image 158: Predicted = 7, Label = 7
Image 159: Predicted = 2, Label = 2
Image 160: Predicted = 7, Label = 8
Image 161: Predicted = 2, Label = 2
Image 162: Predicted = 9, Label = 9
Image 163: Predicted = 4, Label = 4
Image 164: Predicted = 4, Label = 4
Image 165: Predicted = 6, Label = 6
Image 166: Predicted = 4, Label = 4
Image 167: Predicted = 9, Label = 9
Image 168: Predicted = 1, Label = 7
Image 169: Predicted = 0, Label = 0
Image 170: Predicted = 9, Label = 9
Image 171: Predicted = 2, Label = 2
Image 172: Predicted = 7, Label = 9
Image 173: Predicted = 5, Label = 5
Image 174: Predicted = 1, Label = 1
Image 175: Predicted = 5, Label = 5
Image 176: Predicted = 9, Label = 9
Image 177: Predicted = 1, Label = 1
Image 178: Predicted = 0, Label = 2
Image 179: Predicted = 3, Label = 3
Image 180: Predicted = 1, Label = 2
Image 181: Predicted = 3, Label = 3
Image 182: Predicted = 5, Label = 5
Image 183: Predicted = 9, Label = 9
Image 184: Predicted = 1, Label = 1
Image 185: Predicted = 7, Label = 7
Image 186: Predicted = 6, Label = 6
Image 187: Predicted = 2, Label = 2
Image 188: Predicted = 8, Label = 8
Image 189: Predicted = 2, Label = 2
Image 190: Predicted = 2, Label = 2
Image 191: Predicted = 5, Label = 5
Image 192: Predicted = 0, Label = 0
Image 193: Predicted = 7, Label = 7
Image 194: Predicted = 4, Label = 4
Image 195: Predicted = 9, Label = 9
Image 196: Predicted = 7, Label = 7
Image 197: Predicted = 8, Label = 8
Image 198: Predicted = 3, Label = 3
Image 199: Predicted = 2, Label = 2
Image 200: Predicted = 1, Label = 1
Image 201: Predicted = 1, Label = 1
Image 202: Predicted = 8, Label = 8
Image 203: Predicted = 3, Label = 3
Image 204: Predicted = 6, Label = 6
Image 205: Predicted = 1, Label = 1
Image 206: Predicted = 0, Label = 0
Image 207: Predicted = 3, Label = 3
Image 208: Predicted = 1, Label = 1
Image 209: Predicted = 0, Label = 0
Image 210: Predicted = 0, Label = 0
Image 211: Predicted = 1, Label = 1
Image 212: Predicted = 7, Label = 7
Image 213: Predicted = 2, Label = 2
Image 214: Predicted = 7, Label = 7
Image 215: Predicted = 3, Label = 3
Image 216: Predicted = 0, Label = 0
Image 217: Predicted = 4, Label = 4
Image 218: Predicted = 6, Label = 6
Image 219: Predicted = 5, Label = 5
Image 220: Predicted = 2, Label = 2
Image 221: Predicted = 6, Label = 6
Image 222: Predicted = 4, Label = 4
Image 223: Predicted = 7, Label = 7
Image 224: Predicted = 9, Label = 1
Image 225: Predicted = 8, Label = 8
Image 226: Predicted = 9, Label = 9
Image 227: Predicted = 9, Label = 9
Image 228: Predicted = 5, Label = 3
Image 229: Predicted = 0, Label = 0
Image 230: Predicted = 7, Label = 7
Image 231: Predicted = 1, Label = 1
Image 232: Predicted = 0, Label = 0
Image 233: Predicted = 2, Label = 2
Image 234: Predicted = 0, Label = 0
Image 235: Predicted = 3, Label = 3
Image 236: Predicted = 5, Label = 5
Image 237: Predicted = 4, Label = 4
Image 238: Predicted = 6, Label = 6
Image 239: Predicted = 5, Label = 5
Image 240: Predicted = 8, Label = 8
Image 241: Predicted = 6, Label = 6
Image 242: Predicted = 3, Label = 3
Image 243: Predicted = 7, Label = 7
Image 244: Predicted = 3, Label = 5
Image 245: Predicted = 8, Label = 8
Image 246: Predicted = 0, Label = 0
Image 247: Predicted = 9, Label = 9
Image 248: Predicted = 1, Label = 1
Image 249: Predicted = 0, Label = 0
Image 250: Predicted = 3, Label = 3
Image 251: Predicted = 1, Label = 1
Image 252: Predicted = 2, Label = 2
Image 253: Predicted = 2, Label = 2
Image 254: Predicted = 3, Label = 3
Image 255: Predicted = 3, Label = 3
Image 256: Predicted = 1, Label = 6
Image 257: Predicted = 4, Label = 4
Image 258: Predicted = 7, Label = 7
Image 259: Predicted = 5, Label = 5
Image 260: Predicted = 0, Label = 0
Image 261: Predicted = 6, Label = 6
Image 262: Predicted = 5, Label = 2
Image 263: Predicted = 7, Label = 7
Image 264: Predicted = 9, Label = 9
Image 265: Predicted = 8, Label = 8
Image 266: Predicted = 5, Label = 5
Image 267: Predicted = 9, Label = 9
Image 268: Predicted = 7, Label = 2
Image 269: Predicted = 1, Label = 1
Image 270: Predicted = 1, Label = 1
Image 271: Predicted = 4, Label = 4
Image 272: Predicted = 4, Label = 4
Image 273: Predicted = 5, Label = 5
Image 274: Predicted = 5, Label = 6
Image 275: Predicted = 4, Label = 4
Image 276: Predicted = 1, Label = 1
Image 277: Predicted = 2, Label = 2
Image 278: Predicted = 6, Label = 5
Image 279: Predicted = 3, Label = 3
Image 280: Predicted = 9, Label = 9
Image 281: Predicted = 3, Label = 3
Image 282: Predicted = 9, Label = 9
Image 283: Predicted = 0, Label = 0
Image 284: Predicted = 5, Label = 5
Image 285: Predicted = 9, Label = 9
Image 286: Predicted = 6, Label = 6
Image 287: Predicted = 5, Label = 5
Image 288: Predicted = 7, Label = 7
Image 289: Predicted = 4, Label = 4
Image 290: Predicted = 1, Label = 1
Image 291: Predicted = 3, Label = 3
Image 292: Predicted = 4, Label = 4
Image 293: Predicted = 0, Label = 0
Image 294: Predicted = 4, Label = 4
Image 295: Predicted = 8, Label = 8
Image 296: Predicted = 0, Label = 0
Image 297: Predicted = 4, Label = 4
Image 298: Predicted = 3, Label = 3
Image 299: Predicted = 6, Label = 6
Image 300: Predicted = 1, Label = 8
Image 301: Predicted = 7, Label = 7
Image 302: Predicted = 6, Label = 6
Image 303: Predicted = 0, Label = 0
Image 304: Predicted = 9, Label = 9
Image 305: Predicted = 7, Label = 7
Image 306: Predicted = 5, Label = 5
Image 307: Predicted = 7, Label = 7
Image 308: Predicted = 2, Label = 2
Image 309: Predicted = 1, Label = 1
Image 310: Predicted = 1, Label = 1
Image 311: Predicted = 6, Label = 6
Image 312: Predicted = 8, Label = 8
Image 313: Predicted = 9, Label = 9
Image 314: Predicted = 4, Label = 4
Image 315: Predicted = 1, Label = 1
Image 316: Predicted = 3, Label = 5
Image 317: Predicted = 2, Label = 2
Image 318: Predicted = 2, Label = 2
Image 319: Predicted = 9, Label = 9
Image 320: Predicted = 0, Label = 0
Image 321: Predicted = 3, Label = 3
Image 322: Predicted = 9, Label = 9
Image 323: Predicted = 6, Label = 6
Image 324: Predicted = 7, Label = 7
Image 325: Predicted = 2, Label = 2
Image 326: Predicted = 0, Label = 0
Image 327: Predicted = 3, Label = 3
Image 328: Predicted = 5, Label = 5
Image 329: Predicted = 4, Label = 4
Image 330: Predicted = 3, Label = 3
Image 331: Predicted = 6, Label = 6
Image 332: Predicted = 5, Label = 5
Image 333: Predicted = 8, Label = 8
Image 334: Predicted = 9, Label = 9
Image 335: Predicted = 5, Label = 5
Image 336: Predicted = 4, Label = 4
Image 337: Predicted = 7, Label = 7
Image 338: Predicted = 4, Label = 4
Image 339: Predicted = 2, Label = 2
Image 340: Predicted = 9, Label = 7
Image 341: Predicted = 3, Label = 3
Image 342: Predicted = 4, Label = 4
Image 343: Predicted = 8, Label = 8
Image 344: Predicted = 9, Label = 9
Image 345: Predicted = 1, Label = 1
Image 346: Predicted = 9, Label = 9
Image 347: Predicted = 2, Label = 2
Image 348: Predicted = 8, Label = 8
Image 349: Predicted = 7, Label = 7
Image 350: Predicted = 9, Label = 9
Image 351: Predicted = 1, Label = 1
Image 352: Predicted = 8, Label = 8
Image 353: Predicted = 7, Label = 7
Image 354: Predicted = 4, Label = 4
Image 355: Predicted = 1, Label = 1
Image 356: Predicted = 3, Label = 3
Image 357: Predicted = 1, Label = 1
Image 358: Predicted = 1, Label = 1
Image 359: Predicted = 0, Label = 0
Image 360: Predicted = 2, Label = 2
Image 361: Predicted = 3, Label = 3
Image 362: Predicted = 9, Label = 9
Image 363: Predicted = 4, Label = 4
Image 364: Predicted = 9, Label = 9
Image 365: Predicted = 2, Label = 2
Image 366: Predicted = 1, Label = 1
Image 367: Predicted = 6, Label = 6
Image 368: Predicted = 8, Label = 8
Image 369: Predicted = 4, Label = 4
Image 370: Predicted = 1, Label = 7
Image 371: Predicted = 7, Label = 7
Image 372: Predicted = 4, Label = 4
Image 373: Predicted = 4, Label = 4
Image 374: Predicted = 9, Label = 9
Image 375: Predicted = 2, Label = 2
Image 376: Predicted = 5, Label = 5
Image 377: Predicted = 7, Label = 7
Image 378: Predicted = 2, Label = 2
Image 379: Predicted = 4, Label = 4
Image 380: Predicted = 4, Label = 4
Image 381: Predicted = 2, Label = 2
Image 382: Predicted = 1, Label = 1
Image 383: Predicted = 9, Label = 9
Image 384: Predicted = 7, Label = 7
Image 385: Predicted = 2, Label = 2
Image 386: Predicted = 8, Label = 8
Image 387: Predicted = 7, Label = 7
Image 388: Predicted = 6, Label = 6
Image 389: Predicted = 9, Label = 9
Image 390: Predicted = 2, Label = 2
Image 391: Predicted = 2, Label = 2
Image 392: Predicted = 3, Label = 3
Image 393: Predicted = 8, Label = 8
Image 394: Predicted = 1, Label = 1
Image 395: Predicted = 6, Label = 6
Image 396: Predicted = 5, Label = 5
Image 397: Predicted = 1, Label = 1
Image 398: Predicted = 1, Label = 1
Image 399: Predicted = 0, Label = 0
Image 400: Predicted = 2, Label = 2
Image 401: Predicted = 6, Label = 6
Image 402: Predicted = 4, Label = 4
Image 403: Predicted = 5, Label = 5
Image 404: Predicted = 3, Label = 8
Image 405: Predicted = 3, Label = 3
Image 406: Predicted = 1, Label = 1
Image 407: Predicted = 5, Label = 5
Image 408: Predicted = 1, Label = 1
Image 409: Predicted = 9, Label = 9
Image 410: Predicted = 2, Label = 2
Image 411: Predicted = 7, Label = 7
Image 412: Predicted = 4, Label = 4
Image 413: Predicted = 4, Label = 4
Image 414: Predicted = 4, Label = 4
Image 415: Predicted = 8, Label = 8
Image 416: Predicted = 1, Label = 1
Image 417: Predicted = 5, Label = 5
Image 418: Predicted = 2, Label = 8
Image 419: Predicted = 9, Label = 9
Image 420: Predicted = 9, Label = 5
Image 421: Predicted = 6, Label = 6
Image 422: Predicted = 7, Label = 7
Image 423: Predicted = 9, Label = 9
Image 424: Predicted = 9, Label = 9
Image 425: Predicted = 3, Label = 3
Image 426: Predicted = 7, Label = 7
Image 427: Predicted = 0, Label = 0
Image 428: Predicted = 9, Label = 9
Image 429: Predicted = 0, Label = 0
Image 430: Predicted = 6, Label = 6
Image 431: Predicted = 6, Label = 6
Image 432: Predicted = 2, Label = 2
Image 433: Predicted = 3, Label = 3
Image 434: Predicted = 9, Label = 9
Image 435: Predicted = 0, Label = 0
Image 436: Predicted = 9, Label = 7
Image 437: Predicted = 5, Label = 5
Image 438: Predicted = 4, Label = 4
Image 439: Predicted = 8, Label = 8
Image 440: Predicted = 0, Label = 0
Image 441: Predicted = 9, Label = 9
Image 442: Predicted = 4, Label = 4
Image 443: Predicted = 1, Label = 1
Image 444: Predicted = 2, Label = 2
Image 445: Predicted = 8, Label = 8
Image 446: Predicted = 7, Label = 7
Image 447: Predicted = 1, Label = 1
Image 448: Predicted = 2, Label = 2
Image 449: Predicted = 6, Label = 6
Image 450: Predicted = 1, Label = 1
Image 451: Predicted = 0, Label = 0
Image 452: Predicted = 3, Label = 3
Image 453: Predicted = 0, Label = 0
Image 454: Predicted = 1, Label = 1
Image 455: Predicted = 1, Label = 1
Image 456: Predicted = 8, Label = 8
Image 457: Predicted = 2, Label = 2
Image 458: Predicted = 0, Label = 0
Image 459: Predicted = 9, Label = 3
Image 460: Predicted = 9, Label = 9
Image 461: Predicted = 4, Label = 4
Image 462: Predicted = 0, Label = 0
Image 463: Predicted = 5, Label = 5
Image 464: Predicted = 0, Label = 0
Image 465: Predicted = 6, Label = 6
Image 466: Predicted = 1, Label = 1
Image 467: Predicted = 7, Label = 7
Image 468: Predicted = 7, Label = 7
Image 469: Predicted = 8, Label = 8
Image 470: Predicted = 1, Label = 1
Image 471: Predicted = 9, Label = 9
Image 472: Predicted = 2, Label = 2
Image 473: Predicted = 0, Label = 0
Image 474: Predicted = 5, Label = 5
Image 475: Predicted = 1, Label = 1
Image 476: Predicted = 2, Label = 2
Image 477: Predicted = 2, Label = 2
Image 478: Predicted = 7, Label = 7
Image 479: Predicted = 3, Label = 3
Image 480: Predicted = 5, Label = 5
Image 481: Predicted = 4, Label = 4
Image 482: Predicted = 9, Label = 9
Image 483: Predicted = 7, Label = 7
Image 484: Predicted = 1, Label = 1
Image 485: Predicted = 8, Label = 8
Image 486: Predicted = 3, Label = 3
Image 487: Predicted = 9, Label = 9
Image 488: Predicted = 6, Label = 6
Image 489: Predicted = 0, Label = 0
Image 490: Predicted = 3, Label = 3
Image 491: Predicted = 8, Label = 1
Image 492: Predicted = 1, Label = 1
Image 493: Predicted = 2, Label = 2
Image 494: Predicted = 6, Label = 6
Image 495: Predicted = 3, Label = 3
Image 496: Predicted = 5, Label = 5
Image 497: Predicted = 7, Label = 7
Image 498: Predicted = 6, Label = 6
Image 499: Predicted = 8, Label = 8
